# Created at 2020-06-08 17:52 UTC by TPP v4.3, file format v1.1
# Station ID,Unique ID,Station code,X,Y,Z,Latitude,Longitude,Height,Antenna height [m],Name,Station name,Manufacturer,Receiver Name,Receiver Firmware Version,Receiver Serial Number
77,369,UTES,-1857217.52,-4696500.599,3885222.913,37.756916849,-111.576175808,1756.1117,0,TRM55971.00     NONE,Escalante,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4839K58748
123,368,UTEM,-1823464.564,-4513742.496,4109560.536,40.359900283,-111.997754413,1610.1067,0,TRM57971.00     NONE,Eagle Mountain,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5426R48934
64,367,UTEL,-1654558.895,-4768685.018,3889399.475,37.802196664,-109.134899577,2087.7534,0,TRM55971.00     NONE,Eastland,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4832K57750
70,366,UTEC,-1745240.89,-4488723.896,4170430.673,41.081115667,-111.246359104,1845.9546,0,TRM57971.00     NONE,Echo Port of Entry,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5444R50033
134,365,UTE2,-1842704.5059,-4537196.6637,4075837.581,39.95969135,-112.103685605,1995.427,0,TRM57971.00     NONE,Eureka 2,TRIMBLE,TRIMBLE NETR9,Nav 4.93 / Boot 4.93,5444R50008
120,363,UTDR,-1808045.7171,-4507085.4323,4123186.9504,40.522966092,-111.858499744,1366.923,0,TRM57971.00     NONE,Draper,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5303K49751
27,362,UTDE,-1896569.647,-4561014.146,4023632.7,39.353536183,-112.578611857,1403.1338,0,TRM55971.00     NONE,Delta,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4833K57761
44,361,UTCR,-1811760.129,-4494017.895,4135643.648,40.671035697,-111.956793032,1319.506,0,TRM55971.00     NONE,Calvin Rampton,TRIMBLE,TRIMBLE NETR5,Nav 0.00 / Boot 3.84,4718K10041
29,360,UTCE,-1981771.456,-4649164.472,3880564.328,37.704215164,-113.086806178,1705.4115,0,TRM57971.00     NONE,Cedar City,TRIMBLE,TRIMBLE NETR9,Nav 5.37 / Boot 5.37,5607R50093
113,359,UTBR,-1930229.8429,-4627963.0068,3931357.403,38.284096633,-112.640030742,1795.065,0,TRM57971.00     NONE,Beaver,TRIMBLE,TRIMBLE NETR9,Nav 5.22 / Boot 5.22,5303K49779
110,358,UTBO,-1800595.73497517,-4482218.25383253,4153185.8595763,40.87950775,-111.886304069,1330.308,0,TRM55971.00     NONE,Bountiful,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4839K58735
42,357,UTBL,-1687210.622,-4768885.915,3874861.051,37.638076269,-109.483552846,1883.4671,0,TRM55971.00     NONE,Blanding,TRIMBLE,TRIMBLE NETR3,Nav 4.70 / Boot 4.70,4831K57615
37,356,UTBE,-2027427.226,-4629158.986,3880660.348,37.70630252,-113.651919062,1562.6338,0,TRM55971.00     NONE,Beryl,TRIMBLE,TRIMBLE NETR3,Nav 4.41 / Boot 4.41,4832K57683
112,355,UTAI,-1823434.689,-4459058.34,4167997.931,41.056250806,-112.241037036,1312.6465,0,TRM57971.00     NONE,UTAI,TRIMBLE,TRIMBLE NETR9,Nav 4.81 / Boot 4.81,5303K49758
121,354,P121,-1837809.852,-4393797.103,4230318.24,41.803383154,-112.698276542,1453.1198,0,TRM29659.00     NONE,UNAVCO P121,TRIMBLE,TRIMBLE NETRS,,4539258384
106,353,P106,-1868594.156,-4564648.868,4032777.514,39.458951918,-112.26233193,1560.2763,0,TRM29659.00     NONE,UNAVCO P106,TRIMBLE,TRIMBLE NETRS,,4345228734
